Agent,,BTGroup,,Insurance ,,LandscapeArchitecture,,PennStateUniversity,,PingPongClub
SalesAssociate,,Bunge,,Internet,,LandscapeArchitecture,,PortlandStateUniversity,,QuidditchClubs
SalesRepresentative,,Canon,,Investments,,Law,,PrincetonUniversity,,Skiing
RetailWorker,,CapitalOneFinancial,,Label,,LawEnforcementandCorrection,,PurdueUniversity,,Soccer
StoreManager,,CardinalHealth,,Labor,,liberalarts,,QueensUniversity,,Swimming
SalesManager,,Carrefour,,Law,,MarineBiology,,RensselaerPolytechnicInstitute,,Tennis
RealEstateBroker,,Caterpillar,,library,,Marketing,,RiceUniversity,,TrackField
SalesAssociate,,CathayLifeInsurance,,licensing,,Mathematics,,RochesterInstituteofTechnology,,UltimateFrisbeeClub
Cashier,,Ceconomy,,LiveEntertainment,,MechanicalEngineering,,RutgersTheStateUniversityofNewJersey,,Volleyball
StoreManager,,CedarHoldingsGroup,,Livestock,,MediaStudies,,RyersonUniversity,,WaterPolo
AccountExecutive,,Centene,,Livestock,,Meteorology,,SaintLouisUniversity,,Yoga Club
AccountManager,,Centrica,,lobbyist,,Microbiology,,SanDiegoStateUniversity,,
AreaSalesManager,,CFE,,Logging,,MineralEconomics,,SanFranciscoStateUniversity,,
DirectSalesperson,,CharterCommunications,,Logistics,,ModernLanguages,,SanJoséStateUniversity,,
DirectorofInsideSales,,ChemChina,,Magazines,,Music,,SantaClaraUniversity,,
OutsideSalesManager,,Chevron,,Manufacturing,,MusicEducation,,SimonFraserUniversity,,
SalesAnalyst,,ChinaAerospaceScienceIndustry,,Manufacturing,,NuclearEngineering,,SouthernMethodistUniversity,,
MarketDevelopmentManager,,ChinaAerospaceScienceTechnology,,Marijuana,,Nursing,,SouthernNewHampshireUniversity,,
B2BSalesSpecialist,,ChinaBaowuSteelGroup,,MarineTransport,,Nutrition,,StanfordUniversity,,
SalesEngineer,,ChinaCommunicationsConstruction,,Meatprocessing,,Philosophy,,StonyBrookUniversity,,
ConstructionWorker,,ChinaConstructionBank,,MedicalSupplies,,Photography,,SyracuseUniversity,,
Taper,,ChinaCOSCOShipping,,Mining,,Physics,,TempleUniversity,,
Plumber,,ChinaDatang,,Mortgage,,Physiology,,TexasStateUniversity,,
HeavyEquipmentOperator,,ChinaElectronics,,Mortgage,,PoliticalScience,,TexasTechUniversity,,
VehicleEquipmentCleaner,,ChinaElectronicsTechnologyGroup,,Motion Picture Production,,Premedicine,,TexasAMUniversity,,
Carpenter,,ChinaEnergyEngineeringGroup,,MotionPictureDistribution,,Psychology,,TheNewSchool,,
Electrician,,ChinaEnergyInvestment,,music,,PublicRelations,,TheUniversityofAlabama,,
Painter,,ChinaEverbrightGroup,,MusicProduction,,RadioTelevisionBroadcasting,,TheUniversityofOklahoma,,
Welder,,ChinaEvergrandeGroup,,Newspaper,,RealEstate,,TheUniversityofTennesseeatMartin,,
Handyman,,ChinaFAWGroup,,NonProfits,,RecreationandParks,,TheUniversityofTennesseeKnoxville,,
Boilermaker,,ChinaHuadian,,Nurses,,RehabilitationServices,,TheUniversityofTexasatArlington,,
CraneOperator,,ChinaHuanengGroup,,NursingHomes,,ReligiousStudies,,TheUniversityofTexasatDallas,,
BuildingInspector,,ChinaLifeInsurance,,Nutrition,,SecondaryEducation,,TheOhioStateUniversity,,
